antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bananas'}),frozenset({'Apples'}),0.1794400163498876,0.1794400163498876,0.03443695074596362,0.19191343963553528,1.0695130525474648,1.0,0.00223823127831569,1.0154357514373484,0.07920816226982628,0.10614173228346456,0.015201110868411983,0.19191343963553528
frozenset({'Apples'}),frozenset({'Bananas'}),0.1794400163498876,0.1794400163498876,0.03443695074596362,0.19191343963553528,1.0695130525474648,1.0,0.00223823127831569,1.0154357514373484,0.07920816226982628,0.10614173228346456,0.015201110868411983,0.19191343963553528
frozenset({'Beef'}),frozenset({'Apples'}),0.17024320457796852,0.1794400163498876,0.030962599632127528,0.18187274909963985,1.0135573591623437,1.0,0.0004141562191995983,1.0029735383426905,0.01612040514396268,0.09714652132093621,0.0029647226262858716,0.17721200097351014
frozenset({'Apples'}),frozenset({'Beef'}),0.1794400163498876,0.17024320457796852,0.030962599632127528,0.1725512528473804,1.0135573591623437,1.0,0.0004141562191995983,1.0027893549628957,0.01630108216301083,0.09714652132093621,0.0027815961039981208,0.17721200097351014
frozenset({'Bread'}),frozenset({'Apples'}),0.1759656652360515,0.1794400163498876,0.03300633558144288,0.1875725900116144,1.0453219623312404,1.0,0.0014310537344669472,1.0100102157580368,0.05261545407636733,0.1023771790808241,0.00991100446496368,0.18575668224954295
frozenset({'Apples'}),frozenset({'Bread'}),0.1794400163498876,0.1759656652360515,0.03300633558144288,0.1839407744874715,1.0453219623312404,1.0,0.0014310537344669472,1.0097727088942732,0.05283823433023986,0.1023771790808241,0.009678127372816984,0.18575668224954295
frozenset({'Butter'}),frozenset({'Apples'}),0.1797465767422849,0.1794400163498876,0.034028203556100554,0.18931210915292782,1.0550161162702458,1.0,0.0017744748866286297,1.0121774272374109,0.06357447518528886,0.10465116279069768,0.012030921565448513,0.18947382223022247
frozenset({'Apples'}),frozenset({'Butter'}),0.1794400163498876,0.1797465767422849,0.034028203556100554,0.1896355353075171,1.0550161162702458,1.0,0.0017744748866286297,1.0122030999582206,0.0635507238246966,0.10465116279069768,0.012055979633656694,0.18947382223022247
frozenset({'Carrots'}),frozenset({'Apples'}),0.18322092785612099,0.1794400163498876,0.034334763948497854,0.18739542665923034,1.044334649935779,1.0,0.001457597658353925,1.0097900141967409,0.05197553811966411,0.10457516339869281,0.009695099039505365,0.18936969510638055
frozenset({'Apples'}),frozenset({'Carrots'}),0.1794400163498876,0.18322092785612099,0.034334763948497854,0.19134396355353075,1.044334649935779,1.0,0.001457597658353925,1.0100451061159519,0.05173604933878894,0.10457516339869281,0.00994520547164419,0.18936969510638055
frozenset({'Cereal'}),frozenset({'Apples'}),0.17698753321070917,0.1794400163498876,0.03310852237890864,0.18706697459584293,1.0425042217510927,1.0,0.0013498765258527154,1.0093820253423256,0.04953906808057949,0.10240202275600506,0.00929482109525764,0.1857886125826595
frozenset({'Apples'}),frozenset({'Cereal'}),0.1794400163498876,0.17698753321070917,0.03310852237890864,0.18451025056947606,1.042504221751093,1.0,0.0013498765258527154,1.0092247846941302,0.04968713005242681,0.10240202275600506,0.009140465864526047,0.1857886125826595
frozenset({'Chicken'}),frozenset({'Apples'}),0.17872470876762722,0.1794400163498876,0.03310852237890864,0.18524871355060032,1.0323712476117168,1.0,0.0010381577155167132,1.0071294115116116,0.03817989944654108,0.10185476265325367,0.007078942815214787,0.18487948206003818
frozenset({'Apples'}),frozenset({'Chicken'}),0.1794400163498876,0.17872470876762722,0.03310852237890864,0.18451025056947606,1.0323712476117168,1.0,0.0010381577155167132,1.0070945610363453,0.03821318204879833,0.10185476265325367,0.007044582813598703,0.18487948206003818
